x,y,label
"0.63406, 1.0033",,1
"0.61668, 0.92617",,1
"0.40700, -0.0062583",,1
"0.59033, 0.79904",,1
"0.57687, 0.73422",,1
"0.45659, 0.21881",,1
"0.43620, 0.094900",,1
"0.60372, 0.83528",,1
"0.57081, 0.68673",,1
"0.61391, 0.87272",,1
"0.56536, 0.65483",,1
"0.44653, 0.13046",,1
"0.43490, 0.071134",,1
"0.42283, 0.017615",,1
"0.45732, 0.16798",,1
"0.63695, 0.95692",,1
"0.41396, -0.0062871",,1
"0.50366, 0.36322",,1
"0.62952, 0.90338",,1
"0.47098, 0.20028",,1
"0.58733, 0.71110",,1
"0.65013, 0.98380",,1
"0.43692, 0.038928",,1
"0.52342, 0.41998",,1
"0.48135, 0.23081",,1
"0.60630, 0.77982",,1
"0.60131, 0.75256",,1
"0.64249, 0.93257",,1
"0.43355, -0.0013163",,1
"0.52194, 0.38510",,1
"0.49648, 0.26965",,1
"0.46241, 0.11081",,1
"0.66817, 1.0182",,1
"0.62122, 0.80997",,1
"0.47233, 0.14966",,1
"0.63202, 0.85270",,1
"0.59429, 0.71113",,1
"0.57859, 0.61832",,1
"0.65740, 0.98585",,1
"0.61353, 0.78102",,1
"0.51983, 0.33974",,1
"0.46253, 0.085639",,1
"0.64234, 0.88046",,1
"0.57763, 0.58837",,1
"0.45806, 0.058103",,1
"0.66480, 0.96465",,1
"0.60386, 0.68665",,1
"0.48933, 0.17877",,1
"0.46949, 0.11133",,1
"0.45571, 0.024509",,1
"0.47908, 0.14874",,1
"0.50032, 0.21204",,1
"0.61605, 0.72270",,1
"0.67867, 0.99528",,1
"0.66112, 0.91486",,1
"0.57531, 0.53432",,1
"0.53777, 0.36785",,1
"0.48604, 0.13331",,1
"0.45569, -0.0013266",,1
"0.67002, 0.94406",,1
"0.54892, 0.40956",,1
"0.52282, 0.28611",,1
"0.51506, 0.25171",,1
"0.69059, 1.0250",,1
"0.64771, 0.82452",,1
"0.56739, 0.46834",,1
"0.64045, 0.78975",,1
"0.53306, 0.31351",,1
"0.48749, 0.10886",,1
"0.66083, 0.85958",,1
"0.48632, 0.077951",,1
"0.60630, 0.60231",,1
"0.48109, 0.047020",,1
"0.68992, 0.96541",,1
"0.67388, 0.89427",,1
"0.59943, 0.56667",,1
"0.62314, 0.66413",,1
"0.61612, 0.63297",,1
"0.50884, 0.15979",,1
"0.52457, 0.22442",,1
"0.51844, 0.19209",,1
"0.70002, 0.98921",,1
"0.63439, 0.69598",,1
"0.56578, 0.38916",,1
"0.55478, 0.34553",,1
"0.48310, 0.022498",,1
"0.59160, 0.50109",,1
"0.48032, -0.00014533",,1
"0.71149, 1.0199",,1
"0.64492, 0.72724",,1
"0.49745, 0.070707",,1
"0.69050, 0.92427",,1
"0.58538, 0.45035",,1
"0.57937, 0.42370",,1
"0.51313, 0.13251",,1
"0.67484, 0.84192",,1
"0.66752, 0.80948",,1
"0.60612, 0.53720",,1
"0.54857, 0.27680",,1
"0.71542, 0.99617",,1
"0.70362, 0.94900",,1
"0.66614, 0.78276",,1
"0.51035, 0.094469",,1
"0.57270, 0.38896",,1
"0.49015, 0.022860",,1
"0.50684, 0.063977",,1
"0.69044, 0.87512",,1
"0.56224, 0.30658",,1
"0.54855, 0.24548",,1
"0.49649, 0.0059536",,1
"0.62635, 0.58572",,1
"0.66471, 0.74815",,1
"0.71704, 0.97763",,1
"0.54559, 0.21213",,1
"0.64504, 0.64803",,1
"0.60646, 0.47693",,1
"0.50693, 0.035569",,1
"0.70428, 0.90304",,1
"0.65435, 0.68160",,1
"0.58396, 0.36946",,1
"0.54092, 0.17856",,1
"0.72427, 1.0020",,1
"0.67306, 0.78262",,1
"0.53632, 0.15045",,1
"0.66745, 0.71657",,1
"0.63192, 0.56157",,1
"0.62217, 0.51576",,1
"0.59821, 0.40950",,1
"0.58102, 0.33324",,1
"0.53297, 0.12017",,1
"0.50600, 0.0082926",,1
"0.64708, 0.62107",,1
"0.69339, 0.82131",,1
"0.70145, 0.85191",,1
"0.60910, 0.44233",,1
"0.72133, 0.92979",,1
"0.53050, 0.083460",,1
"0.69358, 0.79642",,1
"0.57625, 0.27093",,1
"0.74408, 1.0075",,1
"0.56957, 0.23100",,1
"0.74082, 0.98534",,1
"0.73440, 0.95685",,1
"0.67436, 0.71632",,1
"0.62914, 0.51579",,1
"0.60522, 0.40970",,1
"0.58793, 0.33304",,1
"0.69254, 0.76866",,1
"0.65422, 0.62187",,1
"0.53208, 0.054492",,1
"0.71980, 0.88180",,1
"0.56608, 0.19754",,1
"0.52803, 0.026218",,1
"0.59188, 0.30166",,1
"0.60623, 0.35758",,1
"0.56200, 0.16145",,1
"0.52679, 0.0049071",,1
"0.68267, 0.69400",,1
"0.65803, 0.58472",,1
"0.73299, 0.90943",,1
"0.63956, 0.49510",,1
"0.55851, 0.13569",,1
"0.69402, 0.73404",,1
"0.61804, 0.38939",,1
"0.55405, 0.10044",,1
"0.72073, 0.83705",,1
"0.63773, 0.46382",,1
"0.62933, 0.42660",,1
"0.67877, 0.64068",,1
"0.53502, 0.026356",,1
"0.68654, 0.66999",,1
"0.61010, 0.32843",,1
"0.67552, 0.61086",,1
"0.73399, 0.86244",,1
"0.59581, 0.24964",,1
"0.55623, 0.073721",,1
"0.76478, 0.99383",,1
"0.72450, 0.81521",,1
"0.75199, 0.93451",,1
"0.76105, 0.96443",,1
"0.72102, 0.78690",,1
"0.60705, 0.27889",,1
"0.55526, 0.046651",,1
"0.58848, 0.18623",,1
"0.59667, 0.22000",,1
"0.61710, 0.32863",,1
"0.71981, 0.75324",,1
"0.67567, 0.56004",,1
"0.63379, 0.37175",,1
"0.55390, 0.017480",,1
"0.75248, 0.89038",,1
"0.71299, 0.71014",,1
"0.64529, 0.40730",,1
"0.62409, 0.30817",,1
"0.58970, 0.15564",,1
"0.58241, 0.12331",,1
"0.67099, 0.50843",,1
"0.65722, 0.44480",,1
"0.57793, 0.095723",,1
"0.76423, 0.91421",,1
"0.70571, 0.65470",,1
"0.69005, 0.58523",,1
"0.66488, 0.47617",,1
"0.78571, 0.99403",,1
"0.75016, 0.83637",,1
"0.64083, 0.37211",,1
"0.71769, 0.68465",,1
"0.68445, 0.53723",,1
"0.75957, 0.86525",,1
"0.77814, 0.94245",,1
"0.74757, 0.80686",,1
"0.70644, 0.62448",,1
"0.63095, 0.30770",,1
"0.58180, 0.063996",,1
"0.74400, 0.77819",,1
"0.73317, 0.73271",,1
"0.62387, 0.24545",,1
"0.61603, 0.21067",,1
"0.57636, 0.034353",,1
"0.78849, 0.97035",,1
"0.66424, 0.44505",,1
"0.77105, 0.91356",,1
"0.63374, 0.27632",,1
"0.61389, 0.18317",,1
"0.66216, 0.38951",,1
"0.67154, 0.42081",,1
"0.61349, 0.15051",,1
"0.60663, 0.12010",,1
"0.78357, 0.89705",,1
"0.75106, 0.77861",,1
"0.70901, 0.56640",,1
"0.62301, 0.21075",,1
"0.58346, 0.035363",,1
"0.60331, 0.092532",,1
"0.68598, 0.45657",,1
"0.65204, 0.30348",,1
"0.79453, 0.92507",,1
"0.77298, 0.82952",,1
"0.72089, 0.59850",,1
"0.69801, 0.49703",,1
"0.74788, 0.71306",,1
"0.73432, 0.65549",,1
"0.78165, 0.85766",,1
"0.75846, 0.75486",,1
"0.60167, 0.054371",,1
"0.70834, 0.52485",,1
"0.66589, 0.33143",,1
"0.64482, 0.23030",,1
"0.81407, 0.97572",,1
"0.77350, 0.79581",,1
"0.60161, 0.033502",,1
"0.74887, 0.68403",,1
"0.65443, 0.26519",,1
"0.81066, 0.95070",,1
"0.73675, 0.62767",,1
"0.64289, 0.19857",,1
"0.63620, 0.16912",,1
"0.69214, 0.40154",,1
"0.63306, 0.13699",,1
"0.71166, 0.47527",,1
"0.70463, 0.43892",,1
"0.62870, 0.10733",,1
"0.81231, 0.90961",,1
