x,y,label
0.88,0.4009,vdj_nextgem_hs_pbmc233
0.1876,0.441,vdj_nextgem_hs_pbmc234
0.2281,0.4401,vdj_nextgem_hs_pbmc235
0.2816,0.4389,vdj_nextgem_hs_pbmc236
0.02261,0.4571,vdj_nextgem_hs_pbmc237
0.8396,0.4029,vdj_nextgem_hs_pbmc238
-0.04817,0.4639,vdj_nextgem_hs_pbmc239
0.921,0.414,vdj_nextgem_hs_pbmc240
1.049,0.4002,vdj_nextgem_hs_pbmc241
0.3376,0.4457,vdj_nextgem_hs_pbmc242
0.4792,0.4398,vdj_nextgem_hs_pbmc243
0.3945,0.4384,vdj_nextgem_hs_pbmc244
0.5284,0.4423,vdj_nextgem_hs_pbmc245
0.1067,0.4525,vdj_nextgem_hs_pbmc246
0.6385,0.4339,vdj_nextgem_hs_pbmc247
0.7519,0.4362,vdj_nextgem_hs_pbmc248
-0.06237,0.4868,vdj_nextgem_hs_pbmc249
0.7804,0.4407,vdj_nextgem_hs_pbmc250
0.8754,0.4368,vdj_nextgem_hs_pbmc251
0.9604,0.4306,vdj_nextgem_hs_pbmc252
1.133,0.4258,vdj_nextgem_hs_pbmc253
0.1867,0.4701,vdj_nextgem_hs_pbmc254
0.2859,0.4743,vdj_nextgem_hs_pbmc255
0.1425,0.4733,vdj_nextgem_hs_pbmc256
1.014,0.4259,vdj_nextgem_hs_pbmc257
0.4238,0.469,vdj_nextgem_hs_pbmc258
0.05962,0.4919,vdj_nextgem_hs_pbmc259
0.3358,0.478,vdj_nextgem_hs_pbmc260
0.5007,0.4735,vdj_nextgem_hs_pbmc261
0.5274,0.476,vdj_nextgem_hs_pbmc262
0.8283,0.4645,vdj_nextgem_hs_pbmc263
0.9085,0.4537,vdj_nextgem_hs_pbmc264
0.7699,0.4575,vdj_nextgem_hs_pbmc265
1.067,0.4489,vdj_nextgem_hs_pbmc266
0.02377,0.5069,vdj_nextgem_hs_pbmc267
0.9768,0.4698,vdj_nextgem_hs_pbmc268
1.114,0.4598,vdj_nextgem_hs_pbmc269
-0.04516,0.5176,vdj_nextgem_hs_pbmc270
0.1674,0.5082,vdj_nextgem_hs_pbmc271
0.2384,0.5036,vdj_nextgem_hs_pbmc272
0.3843,0.4885,vdj_nextgem_hs_pbmc273
0.6059,0.488,vdj_nextgem_hs_pbmc274
0.6515,0.4769,vdj_nextgem_hs_pbmc275
0.6964,0.4811,vdj_nextgem_hs_pbmc276
0.2822,0.5072,vdj_nextgem_hs_pbmc277
0.4198,0.4928,vdj_nextgem_hs_pbmc278
0.08357,0.5204,vdj_nextgem_hs_pbmc279
0.1181,0.5152,vdj_nextgem_hs_pbmc280
0.3249,0.5134,vdj_nextgem_hs_pbmc281
1.15,0.4708,vdj_nextgem_hs_pbmc282
0.4692,0.5054,vdj_nextgem_hs_pbmc283
0.8069,0.4926,vdj_nextgem_hs_pbmc284
0.02663,0.5462,vdj_nextgem_hs_pbmc285
0.8783,0.4943,vdj_nextgem_hs_pbmc286
0.924,0.4981,vdj_nextgem_hs_pbmc287
0.9742,0.4836,vdj_nextgem_hs_pbmc288
1.078,0.4932,vdj_nextgem_hs_pbmc289
-0.05809,0.5389,vdj_nextgem_hs_pbmc290
0.1732,0.5365,vdj_nextgem_hs_pbmc291
0.2259,0.5385,vdj_nextgem_hs_pbmc292
0.5674,0.5136,vdj_nextgem_hs_pbmc293
0.2018,0.5497,vdj_nextgem_hs_pbmc294
0.09812,0.5463,vdj_nextgem_hs_pbmc295
0.3333,0.5433,vdj_nextgem_hs_pbmc296
0.6458,0.5253,vdj_nextgem_hs_pbmc297
0.681,0.5255,vdj_nextgem_hs_pbmc298
0.7559,0.5139,vdj_nextgem_hs_pbmc299
1.147,0.5079,vdj_nextgem_hs_pbmc300
0.4219,0.5413,vdj_nextgem_hs_pbmc301
0.359,0.5608,vdj_nextgem_hs_pbmc302
1.109,0.5262,vdj_nextgem_hs_pbmc303
0.01668,0.5807,vdj_nextgem_hs_pbmc304
0.8022,0.5312,vdj_nextgem_hs_pbmc305
1.067,0.5167,vdj_nextgem_hs_pbmc306
-0.04944,0.5827,vdj_nextgem_hs_pbmc307
0.9727,0.5353,vdj_nextgem_hs_pbmc308
1.022,0.5366,vdj_nextgem_hs_pbmc309
-0.04757,0.5959,vdj_nextgem_hs_pbmc310
0.173,0.5742,vdj_nextgem_hs_pbmc311
0.6718,0.5497,vdj_nextgem_hs_pbmc312
0.4387,0.5732,vdj_nextgem_hs_pbmc313
0.5351,0.5736,vdj_nextgem_hs_pbmc314
0.5902,0.5597,vdj_nextgem_hs_pbmc315
0.07276,0.5975,vdj_nextgem_hs_pbmc316
0.4814,0.5765,vdj_nextgem_hs_pbmc317
0.7237,0.5694,vdj_nextgem_hs_pbmc318
0.1294,0.5941,vdj_nextgem_hs_pbmc319
0.3491,0.5821,vdj_nextgem_hs_pbmc320
1.131,0.5451,vdj_nextgem_hs_pbmc321
1.147,0.5428,vdj_nextgem_hs_pbmc322
